country,colonizer,col,colstart_max,colend_max,colstart_mean,colend_mean,Duration,wiki
Nauru,germany,1,1888,1914,1888,1914,26,https://it.wikipedia.org/wiki/Nauru
Palau,germany,1,1885,1914,1885,1914,29,https://it.wikipedia.org/wiki/Palau_(stato)
Rwanda,germany,1,1899,1915,1894,1915,21,https://it.wikipedia.org/wiki/Ruanda
Samoa,germany,1,1900,1914,1900,1914,14,https://it.wikipedia.org/wiki/Samoa
Solomon Islands,germany,1,1885,1918,1885,1918,33,https://it.wikipedia.org/wiki/Isole_Salomone
Tanzania,germany,1,1891,1917,1888,1916,28,https://it.wikipedia.org/wiki/Tanzania
Togo,germany,1,1885,1916,1884,1914,30,https://it.wikipedia.org/wiki/Togo
Guyana,netherlands,1,1580,1815,1580,1815,235,https://it.wikipedia.org/wiki/Guyana
Indonesia,netherlands,1,1623,1962,1621,1952,331,https://it.wikipedia.org/wiki/Indonesia
South Africa,netherlands,1,1652,1806,1652,1806,154,https://it.wikipedia.org/wiki/Sudafrica
Suriname,netherlands,1,1667,1974,1642,1964,322,https://it.wikipedia.org/wiki/Suriname
Angola,portugal,1,1576,1975,1576,1974,398,https://it.wikipedia.org/wiki/Angola
Brazil,portugal,1,1533,1822,1533,1822,289,https://it.wikipedia.org/wiki/Brasile
Cape Verde,portugal,1,1462,1975,1462,1975,513,https://it.wikipedia.org/wiki/Capo_Verde
Equatorial Guinea,portugal,1,1778,1778,1778,1778,0,https://it.wikipedia.org/wiki/Guinea_Equatoriale
Ghana,portugal,1,1482,1823,1476,1823,347,https://it.wikipedia.org/wiki/Ghana
Guinea-Bissau,portugal,1,1879,1974,1879,1973,94,https://it.wikipedia.org/wiki/Guinea-Bissau
Malaysia,portugal,1,1511,1641,1511,1641,130,https://it.wikipedia.org/wiki/Malaysia
Mozambique,portugal,1,1885,1975,1695,1974,279,https://it.wikipedia.org/wiki/Mozambico
São Tomé & Príncipe,portugal,1,1522,1975,1522,1975,453,https://it.wikipedia.org/wiki/São_Tomé_e_Príncipe
Sri Lanka,portugal,1,1619,1656,1619,1656,37,https://it.wikipedia.org/wiki/Sri_Lanka
Timor-Leste,portugal,1,1642,1975,1642,1975,333,https://it.wikipedia.org/wiki/Timor_Est
Uruguay,portugal,1,1680,1822,1680,1822,142,https://it.wikipedia.org/wiki/Uruguay
Argentina,spain,1,1580,1819,1565,1818,253,https://it.wikipedia.org/wiki/Argentina
Belize,spain,1,1524,1862,1524,1862,338,https://it.wikipedia.org/wiki/Belize
Bolivia,spain,1,1559,1825,1545,1825,280,https://it.wikipedia.org/wiki/Bolivia
Chile,spain,1,1541,1818,1541,1817,276,https://it.wikipedia.org/wiki/Cile
Colombia,spain,1,1525,1820,1518,1819,301,https://it.wikipedia.org/wiki/Colombia
Costa Rica,spain,1,1524,1821,1516,1821,305,https://it.wikipedia.org/wiki/Costa_Rica
Cuba,spain,1,1511,1899,1511,1898,387,https://it.wikipedia.org/wiki/Cuba
Dominican Republic,spain,1,1495,1865,1493,1839,346,https://it.wikipedia.org/wiki/Repubblica_Dominicana
Ecuador,spain,1,1535,1829,1534,1823,289,https://it.wikipedia.org/wiki/Ecuador
El Salvador,spain,1,1528,1821,1525,1821,296,https://it.wikipedia.org/wiki/El_Salvador
Equatorial Guinea,spain,1,1858,1968,1858,1968,110,https://it.wikipedia.org/wiki/Guinea_Equatoriale
Guatemala,spain,1,1524,1821,1524,1821,297,https://it.wikipedia.org/wiki/Guatemala
Honduras,spain,1,1524,1821,1524,1821,297,https://it.wikipedia.org/wiki/Honduras
Jamaica,spain,1,1509,1655,1509,1655,146,https://it.wikipedia.org/wiki/Giamaica
Mexico,spain,1,1521,1821,1520,1821,301,https://it.wikipedia.org/wiki/Messico
Micronesia (Federated States of),spain,1,1650,1899,1650,1899,249,https://it.wikipedia.org/wiki/Micronesia
Morocco,spain,1,1884,1975,1884,1975,91,https://it.wikipedia.org/wiki/Marocco
Nicaragua,spain,1,1524,1821,1523,1821,298,https://it.wikipedia.org/wiki/Nicaragua
Palau,spain,1,1886,1899,1886,1899,13,https://it.wikipedia.org/wiki/Palau_(stato)
Panama,spain,1,1519,1821,1514,1820,306,https://it.wikipedia.org/wiki/Panama
Paraguay,spain,1,1537,1811,1537,1811,274,https://it.wikipedia.org/wiki/Paraguay
Peru,spain,1,1533,1824,1532,1823,291,https://it.wikipedia.org/wiki/Perù
Philippines,spain,1,1565,1898,1565,1898,333,https://it.wikipedia.org/wiki/Filippine
Trinidad & Tobago,spain,1,1592,1797,1592,1797,205,https://it.wikipedia.org/wiki/Trinidad_e_Tobago
Uruguay,spain,1,1625,1828,1590,1823,233,https://it.wikipedia.org/wiki/Uruguay
Venezuela,spain,1,1556,1821,1534,1820,286,https://it.wikipedia.org/wiki/Venezuela
Eritrea,italy,1,1890,1941,1885,1940,55,https://it.wikipedia.org/wiki/Eritrea
Libya,italy,1,1912,1942,1912,1942,30,https://it.wikipedia.org/wiki/Libia
Somalia,italy,1,1905,1936,1905,1936,31,https://it.wikipedia.org/wiki/Somalia
